Code,Name,Type,Latitude,Longitude,Sector,Open/Closed,State,Local_Hospital_Network_(LHN),Primary_Health_Network_area_(PHN),Min_Beds,Max_Beds,Website,Elective_Surgery_High_Level,Elective_Surgery_Low_Level,Establishment_ID,Medicare_provider_no,Network_code,Hospital_Network,Remoteness_area,Number_of_available_beds,Peer_group_name,Establishments_data,Morbidity_data,Emergency_department_data,Elective_Surgery_Waiting_times_data,Non_admitted_patient_aggregate_data,IHPA_funding_designation,Phone_number,Street_address,Suburb,Postcode
H0069,Royal Rehabilitation Hospital,Hospital,-33.821772,151.107845,Public,Open,New South Wales,Northern Sydney,Northern Sydney,100,199,www.royalrehab.com.au/,,,1176B2210,0012600J,106,Northern Sydney,Major Cities,47,Rehabilitation and GEM,Yes,Yes,No,No,Yes,Activity-based funded hospital,02 9807 1144,227-259 Morrison Road,Ryde,2112
H0449,Roma Hospital,Hospital,-26.568828,148.775846,Public,Open,Queensland,South West (Qld),Western Queensland,50,99,www.health.qld.gov.au/services/southwest/swest_roma_hosp.asp,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Urology,","Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Blepharoplasty,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Common peroneal nerve release,Cystoscopy,Ectropion - correction of,Female sterilisation,Ganglion - excision of,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Orchidectomy,Orchidopexy,Procedure for strabismus (squint repair),Prostatectomy (transurethral or open),Pterygium - excision of,Ptosis - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Skin lesion - excision of,Toenail surgery,Trabeculectomy,Trigger finger/thumb release,Vaginal repair - anterior/posterior,Varicose veins treatment,",310000119,0,326,South West (Qld),Outer Regional,47,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital,07 4624 2700,197-234 Mcdowall Street,Roma,4455
H0567,South Coast District Hospital,Hospital,-35.561171,138.606447,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/victorharborhospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthroscopy,Bladder neck incision,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystoscopy,Dupytren's contracture release,Endometrial ablation,Epididymal cyst - removal of,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal cautery,Pressure equalising tubes (grommets) - insertion of,Prostate biopsy,Prostatectomy (transurethral or open),Pterygium - excision of,Pyogenic granuloma - removal of,Rhinoplasty,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Septoplasty,Shoulder joint replacement,Shoulder reconstruction,Skin lesion - excision of,Tendon release,Toenail surgery,Total hip replacement,Total knee replacement,Trigger finger/thumb release,Vaginal repair - anterior/posterior,Varicose veins treatment,",41HM00223,0,404,Country Health SA,Inner Regional,47,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,08 8552 0500,Bay Road,Victor Harbor,5211
H0099,Cessnock Hospital,Hospital,-32.827754,151.348396,Public,Open,New South Wales,Hunter New England,Hunter New England and Central Coast,50,50,,"General surgery,Gynaecology,Orthopaedic surgery,Other surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bladder neck incision,Breast lump - excision and/or biopsy,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Cystoscopy,Dupytren's contracture release,Epididymal cyst - removal of,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Meniscectomy,Orchidectomy,Osteotomy,Pilonidal sinus surgery,Prostate biopsy,Prostatectomy (transurethral or open),Rotator cuff - repair of,Skin lesion - excision of,Tendon release,Toenail surgery,Trigger finger/thumb release,Ureteric stent - insertion of,Urethra - dilatation of,Vaginal repair - anterior/posterior,",1180Q2020,0010940F,109,Hunter New England,Inner Regional,48.3,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 4991 0555,24 View Street,Cessnock,2325
H0109,Singleton Hospital,Hospital,-32.567087,151.185736,Public,Open,New South Wales,Hunter New England,Hunter New England and Central Coast,50,50,,"General surgery,Gynaecology,Orthopaedic surgery,Other surgery,","Anterior cruciate ligament reconstruction,Arthroscopy,Breast lump - excision and/or biopsy,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystectomy,Endometrial ablation,Female sterilisation,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hysteroscopy, dilatation and curettage,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Osteotomy,Pilonidal sinus surgery,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Skin lesion - excision of,Stress incontinence surgery,Toenail surgery,Trigger finger/thumb release,Vaginal repair - anterior/posterior,",1180Q2170,0012070X,109,Hunter New England,Inner Regional,48.8,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 6571 9222,Lot 20 Dangar Road,Singleton,2330
H0419,Kingaroy Hospital,Hospital,-26.532454,151.838307,Public,Open,Queensland,Darling Downs,Darling Downs and West Moreton,50,50,www.health.qld.gov.au/services/darlingdowns/ddowns-kingaroy-hs.asp,"General surgery,Gynaecology,","Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Cone biopsy,Curettage and evacuation of uterus,Dialysis access surgery,Female sterilisation,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Muscle biopsy/temporal artery biopsy,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Skin lesion - excision of,Toenail surgery,Vaginal repair - anterior/posterior,Varicose veins treatment,",310000070,0,325,Darling Downs,Inner Regional,49,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,07 4162 9200,166 Youngman Street,Kingaroy,4610
H0154,Corowa Health Service,Hospital,-35.993528,146.383541,Public,Open,New South Wales,Murrumbidgee,Murrumbidgee,50,99,,"General surgery,Orthopaedic surgery,","Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Carpal tunnel release,Dupytren's contracture release,Epididymal cyst - removal of,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Inguinal herniotomy/herniorrhaphy,Osteotomy,Skin lesion - excision of,Trigger finger/thumb release,",1184M2060,0011080B,114,Murrumbidgee,Inner Regional,49.5,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital,,,,
H5362,James Nash House,Hospital,-34.849781,138.637283,Public,Open,South Australia,Northern Adelaide,Adelaide,0,0,,,,44NA00306,0,401,Northern Adelaide,Major Cities,50,Psychiatric,Yes,Yes,No,No,No,Activity-based funded hospital,,,,
H0072,Woy Woy Hospital,Hospital,-33.496716,151.320952,Public,Open,New South Wales,Central Coast,Hunter New England and Central Coast,50,50,www.nscchealth.nsw.gov.au/services/003700635.shtml,,,1177B2030,0012650Y,107,Central Coast,Major Cities,50.4,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital,02 4344 8444,7 Kathleen Street,Woy Woy,2256
H0503,Mareeba Hospital,Hospital,-16.987117,145.424468,Public,Open,Queensland,Cairns and Hinterland,Northern Queensland,50,50,www.health.qld.gov.au/services/cairns-hinterland/cairns_mareeba_hosp.asp,"General surgery,Gynaecology,Other surgery,Plastic surgery,","Haemorrhoidectomy,Herniorrhaphy,Inguinal herniotomy/herniorrhaphy,Skin lesion - excision of,",310000223,0,312,Cairns and Hinterland,Outer Regional,51,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,07 4092 9333,21 Lloyd Street,Mareeba,4880
H0083,Manilla Hospital,Hospital,-30.745717,150.732249,Public,Open,New South Wales,Hunter New England,Hunter New England and Central Coast,50,50,,,,1180J2110,0011670B,109,Hunter New England,Outer Regional,51.1,Public acute group D,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6785 4000,143 Court Street,Manilla,2346
H0104,Muswellbrook Hospital,Hospital,-32.264545,150.900263,Public,Open,New South Wales,Hunter New England,Hunter New England and Central Coast,50,50,,"General surgery,Gynaecology,Ophthalmology,Other surgery,Paediatric surgery,","Bartholin's abscess drainage,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cerebral haematoma - evacuation of,Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Diathermy of wart/s,Female sterilisation,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Pilonidal sinus surgery,Skin lesion - excision of,Toenail surgery,",1180Q2090,0010800W,109,Hunter New England,Inner Regional,51.6,Public acute group C,Yes,Yes,Yes,Yes,Yes,Block-funded hospital,02 6542 2000,36 Brentwood Street,Muswellbrook,2333
H0246,Portland District Health,Hospital,-38.340713,141.606087,Public,Open,Victoria,Portland District Health,Western Victoria,50,99,www.pdh.net.au,,,210102460,0,288,Portland District Health,Outer Regional,53,Public acute group C,Yes,Yes,No,No,Yes,Activity-based funded hospital,03 5521 0333,Bentinck Street,Portland,3305
H0589,Riverland General Hospital,Hospital,-34.276054,140.600984,Public,Open,South Australia,Country Health SA,Country SA,50,50,www.sahealth.sa.gov.au/riverlandhospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anterior cruciate ligament reconstruction,Arthroscopy,Blepharoplasty,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Cystoscopy,Diathermy of wart/s,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Pilonidal sinus surgery,Prostatectomy (transurethral or open),Pterygium - excision of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Septoplasty,Shoulder joint replacement,Skin lesion - excision of,Stress incontinence surgery,Tendon release,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Vaginal repair - anterior/posterior,Varicose veins treatment,",41RI00058,0,404,Country Health SA,Outer Regional,53,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,08 8580 2400,Maddern Street,Berri,5343
H0041,Bulli Hospital,Hospital,-34.336667,150.907344,Public,Open,New South Wales,Illawarra Shoalhaven,South Eastern NSW,50,99,www.islhd.health.nsw.gov.au/Bulli_Hospital/default.asp,,,1173P2020,0010850H,108,Illawarra Shoalhaven,Major Cities,53.2,Public acute group C,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 4284 4344,Hospital Road,Bulli,2516
H0315,Benalla Health,Hospital,-36.555239,145.994675,Public,Open,Victoria,Benalla Health,Murray,50,99,www.benallahospital.com.au,,,210404050,0,247,Benalla and District Memorial Hospital,Inner Regional,55,Public acute group C,Yes,Yes,No,No,Yes,Activity-based funded hospital,,,,
H0026,Camden Hospital,Hospital,-34.062702,150.693297,Public,Open,New South Wales,South Western Sydney,South Western Sydney,50,99,www.sswahs.nsw.gov.au/CCQ/,,,1171D2050,0010870B,103,South Western Sydney,Major Cities,56,Public acute group D,Yes,Yes,Yes,No,Yes,Activity-based funded hospital,02 4634 3000,65 Menangle Road,Camden,2570
H0367,The Royal Victorian Eye & Ear Hospital,Hospital,-37.808978,144.976245,Public,Open,Victoria,Royal Victorian Eye and Ear Hospital,North Western Melbourne,50,99,www.rveeh.vic.gov.au,"Ear, nose and throat surgery,Ophthalmology,Other surgery,","Adenoidectomy,Blepharoplasty,Cataract extraction (with or without intra-ocular lens insertion),Cleft lip and palate - repair of,Corneal graft,Ectropion - correction of,Functional endoscopic sinus surgery,Lingual or maxillary frenulum surgery,Mastoidectomy,Microlaryngoscopy,Muscle biopsy/temporal artery biopsy,Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Procedure for strabismus (squint repair),Pterygium - excision of,Rhinoplasty,Septoplasty,Skin lesion - excision of,Stapedectomy,Tonsillectomy (with or without adenoidectomy),Trabeculectomy,Turbinectomy,Vitrectomy (including buckling/cryotherapy),",210A01240,0,263,Royal Victorian Eye and Ear Hospital,Major Cities,56,Other public acute specialised,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,03 9929 8666,32 Gisborne Street,East Melbourne,3002
H0143,Moruya Hospital,Hospital,-35.904137,150.070774,Public,Open,New South Wales,Southern NSW,South Eastern NSW,50,99,,"General surgery,Gynaecology,Orthopaedic surgery,Other surgery,Paediatric surgery,Urology,","Anal fissure - repair of,Arthroscopy,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystoscopy,Dialysis access surgery,Dupytren's contracture release,Epididymal cyst - removal of,Female sterilisation,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Myomectomy,Orchidectomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Prostatectomy (transurethral or open),Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Skin lesion - excision of,Toenail surgery,Trigger finger/thumb release,Vaginal repair - anterior/posterior,Varicose veins treatment,",1183N2110,0011780X,113,Southern NSW,Inner Regional,56.1,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 4474 2666,2-10 River Street,Moruya,2537
H0045,Port Kembla Hospital,Hospital,-34.485923,150.881778,Public,Open,New South Wales,Illawarra Shoalhaven,South Eastern NSW,50,99,www.islhd.health.nsw.gov.au/Port_Kembla_Hospital/default.asp,,,1173P2060,0012480A,108,Illawarra Shoalhaven,Major Cities,57.3,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital,02 4223 8000,89-91 Cowper Street,Warrawong,2502
H0565,Murray Bridge Soldiers' Memorial Hospital,Hospital,-35.128911,139.280462,Public,Open,South Australia,Country Health SA,Country SA,50,99,www.sahealth.sa.gov.au/murrybridgehospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthroscopy,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Cone biopsy,Cystoscopy,Endometrial ablation,Epididymal cyst - removal of,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Myringoplasty/tympanoplasty,Myringotomy,Osteotomy,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostatectomy (transurethral or open),Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Skin lesion - excision of,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Vaginal repair - anterior/posterior,Varicose veins treatment,",41HM00172,0,404,Country Health SA,Inner Regional,58,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,08 8535 6777,96 Swanport Road,Murray Bridge,5253
H0033,Sydney Hospital / Sydney Eye Hospital,Hospital,-33.867929,151.212575,Public,Open,New South Wales,South Eastern Sydney,Central and Eastern Sydney,50,99,www.seslhd.health.nsw.gov.au/SHSEH/default.asp,"Ear, nose and throat surgery,Ophthalmology,Orthopaedic surgery,","Adenoidectomy,Arthrodesis,Arthroscopy,Blepharoplasty,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Dacryocystorhinostomy,Dupytren's contracture release,Ectropion - correction of,Examination of eye under anaesthesia,Fracture non-union - treatment of,Functional endoscopic sinus surgery,Ganglion - excision of,Microlaryngoscopy,Myringoplasty/tympanoplasty,Myringotomy,Osteotomy,Pressure equalising tubes (grommets) - insertion of,Procedure for strabismus (squint repair),Pterygium - excision of,Ptosis - repair of,Septoplasty,Shoulder joint replacement,Skin lesion - excision of,Sub-mucosal resection,Tonsillectomy (with or without adenoidectomy),Trabeculectomy,Trigger finger/thumb release,Vitrectomy (including buckling/cryotherapy),",1172A2330,0010500H,101,South Eastern Sydney,Major Cities,58.8,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,02 9382 7111,8 Macquarie Street,Sydney,2000
H0597,Naracoorte Health Service,Hospital,-36.966849,140.743693,Public,Open,South Australia,Country Health SA,Country SA,50,99,www.sahealth.sa.gov.au/naracoortehospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anterior cruciate ligament reconstruction,Arthroscopy,Axillary node dissection,Bartholin's cyst - removal of,Breast lump - excision and/or biopsy,Breast prosthesis - removal of,Breast reduction,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cholecystectomy (open/laparoscopic),Circumcision,Dermoid cyst - removal of,Dupytren's contracture release,Epididymal cyst - removal of,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Meatoplasty,Myringotomy,Nasal cautery,Nasal polypectomy,Nasendoscopy,Parathyroidectomy,Parotidectomy/submandibular gland - excision of,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostate biopsy,Prostatectomy (transurethral or open),Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Septoplasty,Skin lesion - excision of,Stress incontinence surgery,Thyroidectomy/hemi-thyroidectomy,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Turbinectomy,Urethra - dilatation of,Vaginal repair - anterior/posterior,Varicose veins treatment,",41SE00175,0,404,Country Health SA,Outer Regional,60,Public acute group C,Yes,Yes,No,Yes,Yes,Block-funded hospital,08 8762 8100,101 Jenkins Terrace,Naracoorte,5271
H0583,Port Augusta Hospital and Regional Health Services,Hospital,-32.509417,137.776279,Public,Open,South Australia,Country Health SA,Country SA,50,99,www.sahealth.sa.gov.au/ptaugusthospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Urology,","Adenoidectomy,Arthroscopy,Blepharoplasty,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystoscopy,Dialysis access surgery,Ectropion - correction of,Endometrial ablation,Epididymal cyst - removal of,Female sterilisation,Functional endoscopic sinus surgery,Fundoplication,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Mastectomy,Meatoplasty,Myringoplasty/tympanoplasty,Myringotomy,Nasal cautery,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Procedure for strabismus (squint repair),Prostate biopsy,Prostatectomy (transurethral or open),Pterygium - excision of,Repair of obstructing hiatus hernia,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Septoplasty,Skin lesion - excision of,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Ureteric stent - insertion of,Urethra - dilatation of,Vaginal repair - anterior/posterior,",41NF00196,0,404,Country Health SA,Outer Regional,61,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,08 8668 7500,71 Hospital Road,Port Augusta,5700
H0124,Murwillumbah District Hospital,Hospital,-28.323417,153.400811,Public,Open,New South Wales,Northern NSW,North Coast,50,99,,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Other surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Anal fissure - repair of,Anterior cruciate ligament reconstruction,Arthrodesis,Arthroscopy,Bartholin's abscess drainage,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Cystoscopy,Diathermy of wart/s,Dupytren's contracture release,Ectropion - correction of,Endometrial ablation,Exostosis - excision of,Female sterilisation,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hydrocele - repair of,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Lingual or maxillary frenulum surgery,Microlaryngoscopy,Myringoplasty/tympanoplasty,Myringotomy,Pilonidal sinus surgery,Pressure equalising tubes (grommets) - insertion of,Prostatectomy (transurethral or open),Pterygium - excision of,Ptosis - repair of,Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Shoulder joint replacement,Skin lesion - excision of,Stapedectomy,Tendon release,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Total hip replacement,Total knee replacement,Trigger finger/thumb release,Turbinectomy,Vitrectomy (including buckling/cryotherapy),",1181H2210,0012210A,111,Northern NSW,Major Cities,61.3,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,,,,
H0603,Gawler Health Service,Hospital,-34.593743,138.755044,Public,Open,South Australia,Country Health SA,Country SA,50,99,www.sahealth.sa.gov.au/gawlerhospital,"Ear, nose and throat surgery,General surgery,Gynaecology,Ophthalmology,Orthopaedic surgery,Plastic surgery,Urology,","Acromioplasty/arthroscopy shoulder/sub acromial decompression,Adenoidectomy,Anterior cruciate ligament reconstruction,Arthroplasty - revision of,Arthroscopy,Bartholin's abscess drainage,Bartholin's cyst - removal of,Breast lump - excision and/or biopsy,Bunion (hallux valgus) - removal of,Carpal tunnel release,Cataract extraction (with or without intra-ocular lens insertion),Cholecystectomy (open/laparoscopic),Circumcision,Curettage and evacuation of uterus,Cystoscopy,Dupytren's contracture release,Ethmoidectomy,Functional endoscopic sinus surgery,Ganglion - excision of,Haemorrhoidectomy,Hammer/claw/mallet toe - correction of,Herniorrhaphy,Hydrocele - repair of,Hysterectomy (abdominal/vaginal/laparoscopic),Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Myringoplasty/tympanoplasty,Myringotomy,Myringotomy (without insertion of grommets),Nasal cautery,Orchidectomy,Osteotomy,Pilonidal sinus surgery,Prostatectomy (transurethral or open),Rotator cuff - repair of,Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,Scar revision,Septoplasty,Skin lesion - excision of,Sub-mucosal resection,Toenail surgery,Tonsillectomy (with or without adenoidectomy),Trigger finger/thumb release,Vaginal repair - anterior/posterior,",41WK00020,0,404,Country Health SA,Major Cities,62,Public acute group C,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital,08 8521 2000,21 Hutchinson Road,Gawler East,5118
H0175,Leeton Hospital,Hospital,-34.545222,146.408831,Public,Open,New South Wales,Murrumbidgee,Murrumbidgee,50,99,,,,1184R2110,0011570H,114,Murrumbidgee,Outer Regional,63,Public acute group C,Yes,Yes,Yes,No,Yes,Block-funded hospital,02 6953 1111,1 Myall Street,Leeton,2705
H0338,Wantirna Health,Hospital,-37.848525,145.225902,Public,Open,Victoria,Eastern Health (Vic),Eastern Melbourne,50,99,,,,210802330,0,234,Eastern Health (Vic),Major Cities,63,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital,1300 342 255,251 Mountain Highway,Wantirna,3152
H0502,Innisfail Hospital,Hospital,-17.518939,146.030049,Public,Open,Queensland,Cairns and Hinterland,Northern Queensland,50,99,www.health.qld.gov.au/services/cairns-hinterland/cairns_innis_hosp.asp,"General surgery,Gynaecology,Other surgery,","Bartholin's abscess drainage,Cholecystectomy (open/laparoscopic),Circumcision,Dialysis access surgery,Epididymal cyst - removal of,Ganglion - excision of,Haemorrhoidectomy,Herniorrhaphy,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Large loop excision of the transformation zone cervix (LLETZ),Muscle biopsy/temporal artery biopsy,Skin lesion - excision of,Varicose veins treatment,",310000222,0,312,Cairns and Hinterland,Outer Regional,63,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,07 4016 1411,87 Rankin Street,Innisfail,4860
H0491,Atherton Hospital,Hospital,-17.266635,145.483177,Public,Open,Queensland,Cairns and Hinterland,Northern Queensland,50,50,www.health.qld.gov.au/services/cairns-hinterland/cairns_ath_hosp.asp,"General surgery,Other surgery,","Carpal tunnel release,Cholecystectomy (open/laparoscopic),Ganglion - excision of,Herniorrhaphy,Hysteroscopy, dilatation and curettage,Inguinal herniotomy/herniorrhaphy,Laparoscopy,Scar revision,Skin lesion - excision of,Toenail surgery,",310000211,0,312,Cairns and Hinterland,Outer Regional,64,Public acute group C,Yes,Yes,No,Yes,Yes,Activity-based funded hospital,07 4091 0211,Corner of Louise and Jack Streets,Atherton,4883
